Degradation_Type,PESQ,STOI
Noise (Low),2.4659,0.9995
Noise (High),1.1986,0.9882
Noise (Extreme),1.0658,0.9632
Bitrate (Low),3.6559,0.9952
Bitrate (High),2.7384,0.9047
Bitrate (Extreme),2.0863,0.8405
Compression (Low),4.0705,1.0000
Compression (High),2.5166,0.9992
Compression (Extreme),1.0400,0.8613
Noise (Low),3.2965,0.9515
Noise (High),1.7536,0.9124
Noise (Extreme),1.3514,0.8829
Bitrate (Low),3.3049,0.9983
Bitrate (High),2.2840,0.8857
Bitrate (Extreme),1.7505,0.8102
Compression (Low),3.9361,0.9930
Compression (High),3.2141,0.9468
Compression (Extreme),1.3062,0.8157
